Genes;PT186rna;T15NFREE;T45NFREE;NFREE;TENDNFREE;T15NH4;T45NH4;NH4;TENDNH4;T15NO2;T45NO2;TENDNO2;T15NO3;T45NO3;NO3SPIKE;TENDNO3;PT3OVvsPT3OVrna;Pt8Tc-Pt8TcRNAseq;PTCRvsPTCRrna;Total
Phatr3_EG00040;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;3
Phatr3_EG00164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
Phatr3_EG00185;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;5
Phatr3_EG00203;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;4
Phatr3_EG00217;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;13
Phatr3_EG00259;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
Phatr3_EG00316;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;4
Phatr3_EG00480;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_EG00533;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
Phatr3_EG00560;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_EG00598;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
Phatr3_EG00679;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2
Phatr3_EG00698;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3
Phatr3_EG00724;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
Phatr3_EG00740;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_EG00772;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
Phatr3_EG00776;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
Phatr3_EG00845;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Phatr3_EG00851;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_EG00938;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_EG01070;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_EG01203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2
Phatr3_EG01228;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;4
Phatr3_EG01262;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2
Phatr3_EG01298;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_EG01464;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;3
Phatr3_EG01477;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Phatr3_EG01634;1;1;1;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;8
Phatr3_EG01655;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2
Phatr3_EG01907;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;13
Phatr3_EG01908;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2
Phatr3_EG01909;0;0;1;1;0;1;1;1;1;1;1;0;1;1;1;0;0;0;0;11
